numPlayed,heuristicList,remainingTime
0,70.0,
0,73.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,70.0,
0,70.0,
0,70.0,
0,71.0,
0,71.0,
0,70.0,
0,70.0,
0,72.0,
0,71.0,
0,71.0,
0,70.0,
0,72.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,72.0,
0,71.0,
0,70.0,
0,71.0,
0,70.0,
0,71.0,
0,70.0,
0,71.0,
0,71.0,
0,70.0,
0,71.0,
0,70.0,
0,70.0,
0,70.0,
0,70.0,
0,71.0,
0,71.0,
0,70.0,
0,70.0,
0,71.0,
0,70.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,70.0,
0,71.0,
0,71.0,
0,71.0,
0,70.0,
0,71.0,
0,71.0,
0,70.0,
0,72.0,
0,70.0,
0,72.0,
0,71.0,
0,72.0,
0,71.0,
0,70.0,
0,71.0,
0,71.0,
0,72.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,72.0,
0,71.0,
0,70.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,71.0,
0,72.0,
0,70.0,
0,70.0,
0,70.0,
0,71.0,
