numPlayed,heuristicList,remainingTime
30,34.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0,32.5;61.66666666666667;101.66666666666669;152.5;214.16666666666669;286.6666666666667;370.0;538.5714285714286;552.5675675675676;522.5490196078431;524.3333333333333;542.5316455696203;571.0215053763442;606.8847352024923;648.5537190082644;695.1111111111112;745.9843400447428;800.7975460122699;859.2937853107342;921.2914485165795;986.6585365853659;1055.296803652968;1127.1316165951362;1202.1052631578948;1280.1724137931035;1361.2969696969692;1445.4498269896194;1532.6072607260726;1622.7497371188222;1715.8610271903317
29,32.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;26.0;25.0;25.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0,43.333333333333336;83.33333333333334;137.77777777777777;206.66666666666666;290.0;387.7777777777778;500.0;763.3333333333335;892.3404255319149;862.5;877.7366255144033;917.1428571428569;864.296875;851.5189873417722;860.9042553191489;884.4036697247707;917.8629032258066;958.9208633093524;1006.1363636363635;1058.5798816568047;1115.6250000000002;1176.8341708542714;1241.892523364486;1310.5676855895192;1382.6844262295083;1458.1081081081084;1536.7335766423362;1618.477508650519;1798.4340817501443
18,30.0;26.0;25.0;24.0;25.0;24.0;25.0;25.0;25.0;25.0;24.0;25.0;25.0;24.0;25.0;24.0;24.0;24.0;24.0,65.0;98.0;123.15789473684211;196.66666666666666;239.21568627450978;346.8421052631579;475.0;623.768115942029;793.1999999999999;818.7499999999999;1022.8358208955226;1252.0;1265.2325581395348;1529.3939393939397;1548.0952380952378;1592.1311475409834;1653.932853717026;1729.2307692307693
18,32.0;27.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0,54.0;70.0;103.47826086956522;147.5;201.21951219512195;264.4000000000001;336.9491525423729;418.8235294117647;510.0;610.4651162790698;720.2105263157895;839.2307692307697;967.5221238938052;1105.0819672131147;1251.9083969465648;1408.0000000000005;1573.3557046979868;1747.9746835443043
18,30.0;26.0;25.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;25.0,65.0;98.0;123.15789473684211;164.28571428571428;216.2162162162162;277.8260869565218;348.72727272727275;428.74999999999994;517.8082191780821;615.8536585365854;722.8571428571429;838.8000000000003;963.6697247706422;1097.4576271186445;1240.1574803149606;1391.7647058823536;1552.2758620689656;1965.8823529411761
16,33.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0,37.142857142857146;70.95238095238095;117.14285714285714;175.7142857142857;246.66666666666669;330.0;425.7142857142857;632.2222222222223;744.6428571428571;868.75;1004.2592592592591;1151.0;1308.8636363636365;1477.777777777778;1657.6923076923076;1848.5714285714284
16,32.0;27.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0,54.0;104.66666666666667;140.55555555555557;192.30769230769232;256.37254901960785;331.9047619047619;418.6;516.3218390804598;625.0;744.5945945945947;875.0813008130082;1016.4444444444446;1168.6734693877552;1331.7610062893082;1505.701754385965;1690.4918032786884
16,33.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0,37.142857142857146;70.95238095238095;117.14285714285714;175.7142857142857;246.66666666666669;330.0;425.7142857142857;632.2222222222223;744.6428571428571;868.75;1004.2592592592591;1151.0;1308.8636363636365;1477.777777777778;1657.6923076923076;1848.5714285714284
15,33.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;26.0;26.0;26.0;26.0;26.0,37.142857142857146;70.95238095238095;117.14285714285714;175.7142857142857;246.66666666666669;330.0;425.7142857142857;533.809523809524;654.2857142857142;930.0000000000002;1066.5686274509803;1214.7368421052633;1374.2857142857142;1545.072463768116;1727.0
15,33.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;27.0;27.0;26.0;26.0;26.0;26.0;26.0;26.0,37.142857142857146;70.95238095238095;117.14285714285714;175.7142857142857;246.66666666666669;330.0;425.7142857142857;632.2222222222223;899.3617021276596;1003.5714285714284;1122.0;1252.9729729729736;1395.5421686746988;1549.1304347826092;1713.3663366336634
