numPlayed,heuristicList,remainingTime
2,10.0;6.0;6.0,150.0;266.6666666666666
2,12.0;7.0;8.0,140.0;350.0
2,13.0;7.0;9.0,116.66666666666669;383.33333333333326
2,10.0;6.0;2.147483647E9,150.0;999800.0
2,12.0;7.0;6.0,140.0;177.77777777777783
2,10.0;6.0;6.0,150.0;266.6666666666666
2,12.0;7.0;8.0,140.0;350.0
2,12.0;7.0;8.0,140.0;350.0
2,10.0;6.0;6.0,150.0;266.6666666666666
1,11.0;7.0,175.0
1,10.0;9.0,900.0
1,11.0;8.0,266.6666666666667
1,10.0;9.0,900.0
1,10.0;8.0,400.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,11.0;8.0,266.6666666666667
1,11.0;7.0,175.0
1,12.0;9.0,300.0
1,11.0;8.0,266.6666666666667
1,8.0;8.0,999900.0
1,10.0;7.0,233.33333333333337
1,9.0;7.0,350.0
1,8.0;8.0,999900.0
1,11.0;8.0,266.6666666666667
1,9.0;8.0,800.0
1,10.0;8.0,400.0
1,10.0;9.0,900.0
1,9.0;7.0,350.0
1,11.0;7.0,175.0
1,8.0;7.0,700.0
1,8.0;7.0,700.0
1,12.0;9.0,300.0
1,10.0;7.0,233.33333333333337
1,8.0;8.0,999900.0
1,10.0;7.0,233.33333333333337
1,10.0;8.0,400.0
1,9.0;8.0,800.0
1,10.0;8.0,400.0
1,10.0;7.0,233.33333333333337
1,12.0;8.0,200.0
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,9.0;9.0,999900.0
1,9.0;7.0,350.0
1,10.0;8.0,400.0
1,10.0;9.0,900.0
1,10.0;8.0,400.0
1,8.0;8.0,999900.0
1,10.0;7.0,233.33333333333337
1,11.0;7.0,175.0
1,11.0;8.0,266.6666666666667
1,10.0;7.0,233.33333333333337
1,10.0;8.0,400.0
1,10.0;8.0,400.0
1,9.0;8.0,800.0
1,11.0;7.0,175.0
1,9.0;7.0,350.0
1,12.0;9.0,300.0
1,11.0;8.0,266.6666666666667
1,10.0;8.0,400.0
1,10.0;9.0,900.0
1,8.0;7.0,700.0
1,9.0;8.0,800.0
1,9.0;8.0,800.0
1,11.0;9.0,450.0
1,8.0;7.0,700.0
1,11.0;8.0,266.6666666666667
1,11.0;9.0,450.0
1,11.0;8.0,266.6666666666667
1,10.0;7.0,233.33333333333337
1,10.0;8.0,400.0
1,12.0;8.0,200.0
1,12.0;8.0,200.0
1,10.0;7.0,233.33333333333337
1,8.0;7.0,700.0
1,11.0;8.0,266.6666666666667
1,8.0;8.0,999900.0
1,9.0;8.0,800.0
1,10.0;8.0,400.0
1,13.0;9.0,225.0
1,9.0;8.0,800.0
1,11.0;9.0,450.0
1,10.0;8.0,400.0
1,9.0;8.0,800.0
1,7.0;8.0,999900.0
1,10.0;8.0,400.0
1,13.0;8.0,160.0
1,12.0;8.0,200.0
1,11.0;8.0,266.6666666666667
1,9.0;8.0,800.0
1,8.0;7.0,700.0
1,9.0;7.0,350.0
1,8.0;8.0,999900.0
1,8.0;8.0,999900.0
1,10.0;7.0,233.33333333333337
1,9.0;8.0,800.0
1,8.0;8.0,999900.0
1,8.0;8.0,999900.0
1,11.0;7.0,175.0
1,12.0;9.0,300.0
