numPlayed,heuristicList,remainingTime
77,25.0;22.0;22.0;21.0;21.0;20.0;21.0;20.0;21.0;20.0;20.0;20.0;19.0;19.0;19.0;18.0;18.0;18.0;17.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;14.0;14.0;13.0;12.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;11.0;12.0;12.0;11.0;12.0;12.0;11.0;11.0;12.0;12.0;11.0;12.0;12.0;12.0;12.0;11.0;11.0;11.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;2.147483647E9,73.33333333333334;143.33333333333334;172.5;226.66666666666669;238.5057471264368;327.64705882352945;357.60869565217394;474.66666666666674;512.8571428571429;563.157894736842;622.5093632958801;608.0701754385967;615.3956834532374;635.6910569105692;608.3333333333334;600.6557377049179;604.9765258215963;578.4210526315787;506.2328767123289;464.4194756554307;439.33333333333326;424.5454545454545;416.6301703163017;413.59477124183;414.2011834319527;417.63963963963977;423.35820895522386;405.36082474226805;392.8123620309051;384.2960288808664;378.86990077177506;375.8833502882334;374.87252124645886;375.4977973568282;377.5048169556841;380.6993006993007;393.6667906284863;407.19448407037567;412.2379986477349;409.39086294416245;399.67030804054696;392.05411374930986;386.1861550427793;381.7921146953403;378.6572683152299;376.61113546690046;375.51664234591067;375.26232114467405;375.75659768369076;383.4678405478113;384.9507735583684;393.542234332425;402.4592690444738;405.0428979980935;414.72904122278817;424.70870870870874;428.2159420289855;432.156862745098;443.21859490962083;454.54545454545473;459.2329545454543;471.1812216052497;483.383514313919;495.8377595364559;508.5420604914932;514.1836969001151;520.1552032157213;526.4420778091719;540.3614457831322;554.5207199665133;568.9191410664748;583.5560040363277;598.4306533161496;613.5424785658613;628.890910832296;644.4754190996421;999230.0
37,23.0;20.0;20.0;19.0;19.0;19.0;18.0;18.0;18.0;17.0;14.0;14.0;13.0;13.0;13.0;13.0;13.0;13.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;13.0;13.0;13.0;13.0;13.0,66.66666666666667;130.0;155.83333333333334;204.44444444444446;266.6666666666667;276.6666666666667;306.25;346.66666666666663;344.0740740740742;260.6060606060606;230.2185792349727;204.0650406504065;192.6860841423948;188.9247311827957;189.77011494252878;193.7349397590362;199.99999999999994;217.92079207920796;236.98924731182797;257.183908045977;278.48852901484486;300.8905852417304;324.3802647412756;348.94977168949777;374.59283387622156;401.304347826087;429.080118694362;457.91666666666674;487.8110808356039;518.7609075043628;550.7640638119228;583.8187702265371;596.7960426179603;611.1206896551722;626.6666666666666;643.3333333333334;661.0393603936038
36,23.0;20.0;20.0;20.0;19.0;19.0;19.0;18.0;18.0;18.0;17.0;14.0;14.0;13.0;13.0;13.0;13.0;13.0;13.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0,66.66666666666667;130.0;215.55555555555557;235.0;281.8840579710145;343.33333333333337;342.0454545454545;364.59770114942535;399.5833333333333;389.58333333333337;295.4901960784314;258.66666666666663;227.5;212.66666666666669;206.3095238095238;205.0612244897959;207.2380952380953;211.90476190476193;228.223201174743;245.6284153005464;264.08684546615575;283.5731414868106;304.06779661016947;325.55555555555554;348.02431610942256;371.4643545279383;395.8677685950413;421.2280701754386;447.53988245172116;474.7987117552335;503.000773395205;532.1428571428571;562.2222222222223;593.2365145228216;625.1837007348029;658.0620155038761
10,23.0;20.0;20.0;20.0;20.0;20.0;19.0;19.0;19.0;19.0;19.0,66.66666666666667;130.0;215.55555555555557;323.33333333333337;453.33333333333337;443.33333333333326;477.27272727272725;531.4285714285713;598.8235294117646;676.6666666666667
7,24.0;21.0;21.0;20.0;21.0;21.0;20.0;21.0,70.0;136.66666666666669;164.16666666666669;285.71428571428567;441.66666666666663;463.3333333333335;674.8000000000001
6,22.0;20.0;19.0;20.0;19.0;20.0;20.0,100.0;125.55555555555554;274.2857142857143;313.3333333333333;558.3333333333334;903.3333333333333
3,22.0;21.0;21.0;21.0,210.0;416.66666666666663;693.3333333333334
3,22.0;21.0;21.0;21.0,210.0;416.66666666666663;693.3333333333334
2,21.0;20.0;21.0,200.0;999980.0
1,2.147483647E9;2.147483647E9,999990.0
1,2.147483647E9;2.147483647E9,999990.0
