numPlayed,heuristicList,remainingTime
424,29.0;29.0;29.0;29.0;28.0;27.0;26.0;26.0;25.0;24.0;23.0;22.0;21.0;20.0;19.0;18.0;17.0;18.0;20.0;21.0;21.0;21.0;20.0;19.0;19.0;18.0;20.0;21.0;20.0;21.0;21.0;20.0;19.0;20.0;20.0;21.0;20.0;19.0;19.0;18.0;20.0;21.0;20.0;19.0;20.0;20.0;21.0;19.0;18.0;17.0;18.0;20.0;21.0;18.0;21.0;21.0;21.0;20.0;19.0;19.0;18.0;20.0;20.0;19.0;18.0;17.0;16.0;18.0;18.0;18.0;18.0;19.0;16.0;15.0;19.0;18.0;19.0;19.0;19.0;19.0;21.0;21.0;16.0;21.0;20.0;19.0;18.0;17.0;20.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;21.0;20.0;19.0;18.0;18.0;17.0;19.0;19.0;21.0;20.0;19.0;18.0;17.0;20.0;20.0;19.0;18.0;17.0;20.0;21.0;20.0;21.0;20.0;21.0;20.0;19.0;19.0;18.0;20.0;21.0;20.0;19.0;18.0;17.0;20.0;20.0;22.0;22.0;22.0;22.0;21.0;20.0;18.0;17.0;21.0;21.0;20.0;18.0;17.0;21.0;20.0;19.0;18.0;19.0;22.0;22.0;21.0;20.0;20.0;21.0;22.0;22.0;21.0;20.0;19.0;20.0;22.0;21.0;20.0;19.0;20.0;22.0;21.0;20.0;19.0;20.0;21.0;19.0;18.0;17.0;18.0;19.0;18.0;21.0;21.0;21.0;20.0;22.0;22.0;22.0;22.0;21.0;20.0;19.0;18.0;19.0;20.0;22.0;22.0;20.0;19.0;18.0;19.0;20.0;22.0;19.0;18.0;17.0;18.0;19.0;18.0;21.0;21.0;21.0;20.0;22.0;20.0;22.0;20.0;19.0;18.0;19.0;20.0;22.0;21.0;20.0;19.0;20.0;22.0;21.0;20.0;19.0;20.0;21.0;20.0;19.0;20.0;21.0;20.0;19.0;20.0;22.0;21.0;20.0;20.0;21.0;22.0;21.0;21.0;20.0;20.0;21.0;22.0;20.0;22.0;22.0;21.0;20.0;21.0;22.0;21.0;20.0;19.0;20.0;22.0;21.0;20.0;19.0;20.0;21.0;20.0;20.0;21.0;22.0;21.0;21.0;20.0;20.0;21.0;22.0;22.0;21.0;20.0;21.0;22.0;21.0;20.0;20.0;21.0;22.0;21.0;21.0;21.0;22.0;19.0;18.0;17.0;18.0;18.0;19.0;18.0;19.0;18.0;19.0;20.0;22.0;20.0;22.0;20.0;22.0;23.0;21.0;23.0;21.0;23.0;21.0;23.0;22.0;23.0;21.0;23.0;22.0;23.0;22.0;23.0;22.0;23.0;21.0;23.0;22.0;23.0;21.0;23.0;21.0;23.0;18.0;23.0;18.0;23.0;21.0;23.0;22.0;23.0;22.0;23.0;21.0;23.0;21.0;23.0;21.0;23.0;21.0;23.0;22.0;23.0;21.0;23.0;22.0;25.0;22.0;25.0;22.0;25.0;22.0;25.0;24.0;23.0;22.0;21.0;19.0;18.0;17.0;16.0;17.0;17.0;17.0;19.0;18.0;18.0;17.0;16.0;17.0;17.0;17.0;17.0;19.0;18.0;17.0;16.0;17.0;17.0;17.0;17.0;19.0;18.0;18.0;19.0;18.0;17.0;16.0;17.0;17.0;17.0;17.0;19.0;18.0;17.0;16.0;17.0;17.0;17.0;17.0;19.0;18.0;17.0;16.0;17.0;17.0;17.0;17.0;19.0;18.0;19.0;18.0;17.0;16.0;17.0;17.0;2.147483647E9,999900.0;999800.0;999700.0;14200.0;7423.076923076923;5328.571428571428;5095.3488372093025;4610.101010101011;4129.591836734693;3714.2857142857138;3364.594127806564;3068.217054263566;2812.7976190476193;2588.4735202492216;2387.8504672897193;2205.471124620061;2179.886561954625;2337.410071942445;2589.1525423728817;2854.7008547008536;3134.042553191488;3324.905660377359;3426.1245674740485;3543.130990415335;3576.1107064821554;3824.271844660195;4190.094339622642;4455.855855855857;4853.333333333333;5267.726161369195;5557.4941451990635;5715.378955114054;6027.509293680298;6349.334698055271;6839.949748743718;7178.46750727449;7355.688622754491;7544.444444444445;7577.265238879734;7961.538461538459;8536.385255648036;8939.043209876541;9156.582840236688;9579.894179894183;10013.028169014087;10673.864430468206;10899.85448847101;10916.359007001909;10746.408345752609;10815.330680310783;11308.633696563287;12034.782608695656;12095.740149094781;12854.066985645935;13640.525477707008;14455.537890832009;15015.298410216317;15300.101061141992;15593.51148157228;15614.553990610326;16213.938411669369;16824.59266027105;17143.0;17171.8309859155;16935.723448788063;16474.87628473544;16589.185212433324;16715.658362989325;16853.455109426155;17001.837621115938;17415.453154039576;17073.01587301587;16546.096382012583;16988.401615695326;17199.803149606305;17655.04434589801;18116.388888888887;18583.836206896558;19057.38575982997;20070.30692362598;21121.966019417472;20751.17117117117;21825.40753232154;22629.95344024832;23135.395408163266;23331.897767820094;23229.296452194827;24069.035045607292;25259.406779661018;26140.73447692678;27407.580743449114;28721.52811936383;30084.11713612111;31496.944653143008;32961.666456042796;34480.0;35528.84028484232;36066.27431338175;36088.09552820763;36128.381585192226;35690.12952380952;36268.96707262067;36853.50545292677;38482.10431654676;39613.51139041634;40203.0115146147;40244.01727861771;39766.94456023343;40926.35085892764;42106.40732265448;42728.652147113215;42784.98896247242;42304.58733391524;43512.836920690315;45333.80709664771;46595.11398523743;48524.14544733973;49839.75044563279;51882.522035256414;53253.653653653644;53896.846891370966;54545.89353117271;54457.25176291214;55873.24695121951;58103.97184999517;59578.79722436392;60236.15077098801;60073.42995169082;59144.56999372253;60638.67958378185;62157.11978465681;65460.41551755836;68959.20271416457;72668.83217324053;76606.2816314379;79561.2306454856;81361.64590032157;80695.07523939811;78920.16893477239;81914.28933688346;85018.04953262015;86899.07514450868;86169.48480019996;84266.33039092054;87407.66773162942;89325.14758687848;89930.89189189194;89240.33701948394;89878.63188606757;94552.69716930743;99519.90118034581;103183.96436525612;105320.48997772828;107485.5976243504;111431.39377961897;117432.24054316193;123842.99429942996;128436.38025594148;130888.80430369472;131069.6745857457;133555.19970733975;140975.3915910964;146211.7511520737;148868.8433096135;148798.48905334563;151486.9350862778;160076.12923796359;166047.56756756754;168917.87257019433;168519.70338983048;171419.25071436132;177791.9879388327;177271.55982680336;173466.98554854465;166888.63680247145;163814.92128678982;163773.34067749933;160983.2;166654.33604336044;172548.76033057843;178677.92717086838;181703.23624595476;191729.1070738307;202529.0064102563;214191.0256410255;226817.1132238549;235314.34078642997;238884.7818115145;237297.73950484412;230936.36363636362;229698.17120491283;233231.64070402578;246937.2777953085;261830.57259713707;265643.66998577525;263564.00599186827;256060.26324786327;254404.94174367213;258168.69416842313;273475.44409613375;271426.7280163601;263892.229199372;251893.18959933368;245847.4594401854;244815.6512605042;239369.1224512787;247570.95553453173;256112.52408477844;265013.0192999673;268891.793041927;284029.58568912785;288083.876945886;304763.8537949655;309000.40485829965;306624.96066956164;298139.40163191286;296211.0765401369;300378.16296296305;317513.88143900863;328858.059645149;333311.0880503144;330571.3837058932;335041.5920214241;354845.71135079605;367809.1794569066;372584.4444444443;368832.6316126757;373620.1767870868;387300.97211311857;392234.6418056918;388066.11681212316;393010.0460122695;407437.17169737373;412531.3809990202;407920.9645010047;413023.32313185395;438764.43376389303;455317.7121771218;460766.08630342706;466254.6049938601;484109.6026837193;516773.9482200644;537452.241847826;559307.581395349;565404.8918301794;571540.7604915372;595204.6591992375;640259.0813316477;646762.2634367904;698316.9846815377;757128.0205039749;793289.2060660144;800281.7103898026;839446.4742605671;919632.0112844341;968496.5136347946;974300.0;940569.6820714518;947810.6268364352;974000.0;973900.0;973800.0;973700.0;973600.0;973500.0;973400.0;973300.0;973200.0;973100.0;973000.0;972900.0;972800.0;972700.0;972600.0;972500.0;972400.0;972300.0;972200.0;972100.0;972000.0;971900.0;971800.0;971700.0;971600.0;971500.0;971400.0;971300.0;971200.0;971100.0;971000.0;970900.0;970800.0;970700.0;970600.0;970500.0;970400.0;970300.0;970200.0;970100.0;970000.0;969900.0;969800.0;969700.0;969600.0;969500.0;969400.0;969300.0;969200.0;969100.0;969000.0;968900.0;968800.0;968700.0;968600.0;968500.0;968400.0;968300.0;968200.0;968100.0;968000.0;967900.0;967800.0;967700.0;967600.0;967500.0;967400.0;967300.0;967200.0;967100.0;967000.0;966900.0;966800.0;966700.0;966600.0;966500.0;966400.0;966300.0;966200.0;966100.0;966000.0;965900.0;965800.0;965700.0;965600.0;965500.0;965400.0;965300.0;965200.0;965100.0;965000.0;964900.0;964800.0;964700.0;964600.0;964500.0;964400.0;964300.0;964200.0;964100.0;964000.0;963900.0;963800.0;963700.0;963600.0;963500.0;963400.0;963300.0;963200.0;963100.0;963000.0;962900.0;962800.0;962700.0;962600.0;962500.0;962400.0;962300.0;962200.0;962100.0;962000.0;961900.0;961800.0;961700.0;961600.0;961500.0;961400.0;961300.0;961200.0;961100.0;961000.0;960900.0;960800.0;960700.0;960600.0;960500.0;960400.0;960300.0;960200.0;960100.0;960000.0;959900.0;959800.0;959700.0;959600.0;959500.0;959400.0;959300.0;959200.0;959100.0;959000.0;958900.0;958800.0;958700.0;958600.0;958500.0;958400.0;958300.0;958200.0;949302.0339204175;908824.3797034493;858814.9360882512;826398.9926064895;796691.4346276138;957600.0
1,33.0;33.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
1,30.0;30.0,999900.0
1,29.0;29.0,999900.0
1,30.0;30.0,999900.0
