numPlayed,heuristicList,remainingTime
7,13.0;12.0;9.0;9.0;9.0;11.0;11.0;11.0,1200.0;466.66666666666663;566.6666666666667;745.4545454545455;1684.2105263157896;3400.0;6515.384615384614
7,19.0;16.0;16.0;16.0;16.0;16.0;16.0;17.0,533.3333333333334;1033.3333333333335;1711.1111111111113;2566.6666666666665;3600.0;4811.111111111111;9549.999999999998
6,11.0;9.0;9.0;9.0;9.0;10.0;2.147483647E9,450.0;866.6666666666665;1433.3333333333333;2150.0;6400.0;999400.0
6,10.0;9.0;9.0;9.0;9.0;9.0;9.0,900.0;1766.6666666666667;2933.333333333333;4399.999999999999;6166.666666666667;8233.333333333334
6,10.0;9.0;9.0;9.0;9.0;9.0;9.0,900.0;1766.6666666666667;2933.333333333333;4399.999999999999;6166.666666666667;8233.333333333334
6,18.0;16.0;16.0;16.0;16.0;16.0;16.0,800.0;1566.6666666666667;2599.9999999999995;3899.999999999999;5466.666666666667;7300.000000000001
6,11.0;9.0;9.0;9.0;9.0;9.0;11.0,450.0;866.6666666666665;1433.3333333333333;2150.0;3016.6666666666665;999400.0
6,11.0;9.0;9.0;9.0;9.0;9.0;11.0,450.0;866.6666666666665;1433.3333333333333;2150.0;3016.6666666666665;999400.0
6,18.0;16.0;16.0;16.0;16.0;16.0;17.0,800.0;1566.6666666666667;2599.9999999999995;3899.999999999999;5466.666666666667;15033.333333333332
6,11.0;9.0;9.0;9.0;9.0;10.0;11.0,450.0;866.6666666666665;1433.3333333333333;2150.0;6400.0;999400.0
5,11.0;9.0;9.0;9.0;9.0;11.0,450.0;866.6666666666665;1433.3333333333333;2150.0;999500.0
5,12.0;11.0;9.0;9.0;11.0;11.0,1100.0;611.1111111111111;781.818181818182;2400.0000000000005;7100.0
5,11.0;9.0;9.0;9.0;9.0;11.0,450.0;866.6666666666665;1433.3333333333333;2150.0;999500.0
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;17.0,1600.0;3166.6666666666665;5266.666666666666;999600.0
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;17.0,1600.0;3166.6666666666665;5266.666666666666;999600.0
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
4,17.0;16.0;16.0;16.0;16.0,1600.0;3166.6666666666665;5266.666666666666;7899.999999999996
3,10.0;9.0;9.0;10.0,900.0;1766.6666666666667;999700.0
2,17.0;16.0;17.0,1600.0;999800.0
2,17.0;16.0;17.0,1600.0;999800.0
1,9.0;9.0,999900.0
1,15.0;16.0,999900.0
1,16.0;16.0,999900.0
1,17.0;17.0,999900.0
1,16.0;16.0,999900.0
1,12.0;12.0,999900.0
1,12.0;12.0,999900.0
1,9.0;9.0,999900.0
1,13.0;13.0,999900.0
1,12.0;12.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,12.0;12.0,999900.0
1,16.0;16.0,999900.0
1,12.0;12.0,999900.0
1,16.0;16.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,13.0;13.0,999900.0
1,17.0;17.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,12.0;12.0,999900.0
1,16.0;16.0,999900.0
1,12.0;12.0,999900.0
1,12.0;12.0,999900.0
1,12.0;12.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,12.0;12.0,999900.0
1,12.0;12.0,999900.0
1,16.0;16.0,999900.0
1,16.0;16.0,999900.0
1,16.0;16.0,999900.0
1,16.0;16.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
1,13.0;13.0,999900.0
1,9.0;9.0,999900.0
1,16.0;16.0,999900.0
1,9.0;9.0,999900.0
