numPlayed,heuristicList,remainingTime
51,25.0;22.0;20.0;19.0;19.0;20.0;19.0;20.0;20.0;19.0;20.0;20.0;20.0;18.0;16.0;19.0;18.0;14.0;15.0;15.0;15.0;12.0;12.0;13.0;13.0;11.0;13.0;13.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;15.0;9.0;10.0;11.0;10.0;9.0;10.0;11.0;11.0;11.0;11.0;9.0;6.0;6.0;7.0;0.0,733.3333333333334;793.3333333333333;925.0;1200.0;1833.333333333333;2204.3478260869565;3094.0;4143.20987654321;4549.253731343284;5871.428571428571;7383.561643835617;9089.473684210527;8047.619047619048;6144.444444444444;6968.3908045977005;7136.633663366338;5436.577181208053;4892.553191489363;4586.784140969162;4417.293233082707;3794.3536404160477;3408.1081081081065;3271.494992846924;3187.809523809524;2943.3497536945806;2947.576211894054;2969.999999999999;3096.749024707412;3231.139811398115;3372.8121353558936;3521.4761376248607;3676.8959435626102;3838.877654196158;4007.26040658277;4181.90962550294;4473.617407071624;4123.709677419355;3938.9788905252826;3877.686234122898;3751.111111111112;3572.9482691559706;3498.471615720524;3510.68187710656;3530.502057613169;3557.1529578128675;3589.990982867447;3493.2387606747125;3226.697710516104;3001.414503133393;2860.375460945358;2409.2631264916463
20,25.0;24.0;21.0;23.0;20.0;20.0;20.0;21.0;21.0;21.0;21.0;19.0;19.0;19.0;19.0;18.0;20.0;19.0;20.0;20.0;20.0,2400.0;1066.6666666666665;2433.3333333333335;1854.545454545455;1966.6666666666665;2250.0;3033.3333333333335;3933.333333333333;4950.000000000002;6083.333333333333;5551.333333333333;5415.625;5475.0;5650.724637681159;5447.136563876652;6278.991596638655;6638.09523809524;7578.260869565218;8583.216783216785;9653.153153153151
19,24.0;23.0;22.0;20.0;20.0;21.0;21.0;20.0;21.0;21.0;19.0;19.0;19.0;18.0;20.0;20.0;20.0;18.0;19.0;20.0,2300.0;2200.0;1561.5384615384617;1781.818181818182;2666.666666666667;3726.666666666667;4029.2682926829266;5418.181818181817;7027.659574468085;6128.5714285714275;5882.437275985663;5917.241379310345;5507.894736842105;6486.666666666666;7547.619047619048;8690.909090909092;8188.073394495414;8645.454545454546;9953.846153846152
17,26.0;21.0;20.0;20.0;20.0;20.0;21.0;21.0;21.0;21.0;19.0;19.0;19.0;19.0;19.0;19.0;20.0;20.0,420.0;644.4444444444445;994.7368421052633;1446.1538461538462;1994.9494949494951;3182.3529411764707;4720.0;6637.0370370370365;8959.459459459458;7431.034482758621;6962.025316455696;6904.0;7058.677685950413;7345.070422535211;7723.926380368097;9057.142857142857;10507.899807321774
16,24.0;21.0;22.0;20.0;20.0;20.0;21.0;21.0;21.0;19.0;19.0;19.0;18.0;20.0;20.0;19.0;20.0,700.0;2133.333333333333;1827.2727272727275;2177.777777777778;2713.3333333333335;4253.846153846153;6222.222222222223;8647.619047619046;6887.234042553191;6409.090909090909;6375.686274509803;5796.55172413793;7004.958677685949;8337.037037037036;8681.506849315068;10207.999999999998
15,26.0;21.0;20.0;20.0;20.0;21.0;21.0;21.0;21.0;19.0;19.0;19.0;19.0;20.0;20.0;20.0,420.0;644.4444444444445;994.7368421052633;1446.1538461538462;2416.6666666666665;3673.333333333333;5228.125;7090.1960784313715;5966.666666666667;5689.189189189189;5737.943262411347;5957.894736842106;7058.677685950413;8254.166666666668;9544.444444444445
15,25.0;21.0;20.0;20.0;21.0;20.0;21.0;21.0;19.0;19.0;19.0;18.0;20.0;20.0;19.0;20.0,525.0;780.0;1193.7499999999998;2177.777777777778;2713.3333333333335;4253.846153846153;6222.222222222223;5296.969696969697;5149.180327868852;5294.871794871794;4936.163522012578;6120.0;7446.491228070174;7869.696969696966;9418.51851851852
14,24.0;22.0;20.0;19.0;18.0;19.0;20.0;20.0;19.0;16.0;18.0;19.0;20.0;20.0;20.0,1100.0;1000.0;1100.0;1173.3333333333335;1622.8070175438597;2540.0;3700.0;4241.025641025642;3202.2471910112354;3556.603773584907;4429.464285714285;6109.433962264152;8255.0;10976.595744680852
13,23.0;22.0;19.0;19.0;18.0;19.0;18.0;19.0;19.0;20.0;16.0;19.0;20.0;20.0,2200.0;966.6666666666665;1233.3333333333335;1353.846153846154;1937.4999999999995;2209.090909090909;3014.285714285714;3945.6790123456794;6017.999999999999;4430.232558139535;5635.955056179775;8184.999999999998;11754.92957746479
13,24.0;22.0;19.0;19.0;19.0;19.0;19.0;20.0;19.0;20.0;20.0;17.0;20.0;20.0,1100.0;766.6666666666666;1016.6666666666667;1384.615384615385;1843.1372549019607;2385.714285714286;3581.395348837209;4215.384615384616;5896.153846153846;7961.538461538461;6095.294117647059;8175.609756097561;10745.569620253165
