numPlayed,heuristicList,remainingTime
33,9.0;8.0;7.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0,80.0;70.0;60.0;50.0;52.777777777777786;60.0;70.0;82.2222222222222;96.42857142857142;112.50000000000003;130.37037037037038;150.0;171.36363636363637;194.44444444444446;219.23076923076917;245.71428571428567;273.8888888888889;303.74999999999994;335.2941176470588;368.5185185185185;403.42105263157896;440.0;478.2539682539682;518.1818181818182;559.7826086956521;603.055555555556;648.0;694.6153846153846;742.9012345679014;792.8571428571431;844.4827586206898;897.7777777777776;952.741935483871
26,8.0;7.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.147483647E9,70.0;60.0;50.0;57.5;70.45454545454544;87.14285714285714;107.05882352941177;130.0;155.86956521739128;184.61538461538464;216.20689655172413;250.625;287.85714285714283;327.8947368421054;370.7317073170732;416.36363636363626;464.7872340425531;516.0000000000001;570.0;626.7857142857143;686.3559322033898;748.7096774193549;813.8461538461538;881.7647058823529;952.4647887323945;999740.0
13,4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0,30.0;56.66666666666667;93.33333333333334;140.0;196.66666666666666;263.3333333333333;340.0;426.66666666666663;523.3333333333334;630.0;746.6666666666667;873.3333333333335;1010.0
11,5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0,40.0;76.66666666666666;126.66666666666669;190.00000000000003;266.6666666666667;356.6666666666668;460.0;576.6666666666665;706.6666666666665;850.0000000000001;1006.6666666666665
1,2.0;2.0,999990.0
1,5.0;5.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,5.0;5.0,999990.0
1,4.0;4.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,5.0;5.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,5.0;5.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,5.0;5.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,3.0;3.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,5.0;5.0,999990.0
1,2.0;2.0,999990.0
1,4.0;4.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
1,2.0;2.0,999990.0
