numPlayed,heuristicList,remainingTime
101,34.0;34.0;34.0;34.0;33.0;32.0;31.0;30.0;29.0;28.0;27.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;22.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;23.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;23.0;22.0;23.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;22.0;21.0;21.0;20.0;22.0;22.0;21.0;20.0;21.0;21.0;21.0;21.0;21.0;24.0;23.0;23.0;2.147483647E9,999900.0;999800.0;999700.0;16699.999999999996;8769.23076923077;6328.571428571429;5152.000000000001;4450.0;3973.1092436974786;3619.0476190476193;3338.5964912280706;3105.333333333334;2779.6482412060295;2535.5555555555557;2339.089481946625;2172.3076923076915;2144.701986754967;2152.3255813953488;2185.492227979274;2238.3177570093458;2307.021276595744;2503.7533512064347;2648.5284909204756;2740.6720741599074;2783.244680851063;2899.5351925630803;3024.4382022471927;3157.420494699647;3298.0629877369;3446.0317460317465;3737.7416860015464;3967.0144063586677;4128.419182948491;4221.476510067116;4398.821007502678;4582.592592592592;4772.670623145403;4968.95238095238;5171.349862258954;5555.434782608698;5858.7996110669155;6170.222682547905;6388.663663663663;6512.154607890114;6744.601811005337;6982.882882882881;7226.948028281942;7476.75308117297;7732.258731142796;8226.600985221678;8612.510088781275;9007.142857142859;9546.131597975414;9958.650116369281;10233.572507552872;10368.63316338917;10657.343278280947;10951.646447140385;11251.503356461893;11556.878306878305;11867.738807176345;12510.964205095126;12999.601910828023;13678.551000953285;14378.038469668147;14896.493425172204;15219.816373374138;15346.172839506173;15683.758700696057;16026.838966202784;16375.370988684845;16729.315516771207;17088.63636363636;17897.022376749574;18492.914845715797;19342.342342342345;19959.52068573428;20327.424749163893;20444.27232979388;20826.548961909433;21214.192849404117;21607.164814376916;22005.428427614508;22408.9497716895;23092.34081123952;23503.2820969778;23919.441401971522;24056.776947705446;24773.490952784843;25501.263956182855;25935.047164921736;26071.316889068607;26518.20987654321;26970.145154962738;27427.10346604819;27889.066666666666;28356.017649267742;29818.04630510624;30984.752077959303;32183.422870299313;989900.0
1,37.0;37.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,33.0;33.0,999900.0
1,33.0;33.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
1,34.0;34.0,999900.0
